WONo,PlannedLabour,PlannedLabourST,PlannedLabourTotalRT,PlannedHours,PlannedHoursST,PlannedHoursTotalRT,ActualLabour,ActualLabourST,ActualLabourUnit,ActualHours,ActualHoursST,ActualHoursUnit,OutstandingPlannedHours,OutstandingPlannedLabourCost
17493,6903.630556,0,6903.630556,125.5205556,0,125.5205556,68.75,0,68.75,1.25,0,1.25,124.2705556,6834.880556
17492,11920.39444,0,11920.39444,216.7344444,0,216.7344444,11920.33333,0,11920.33333,216.7333333,0,216.7333333,0.00111111,0.06111105
17491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17490,307.3277779,0,307.3277779,5.58777778,0,5.58777778,1030.333333,0,1030.333333,18.73333333,0,18.73333333,2.31888889,127.538889
17489,8800,0,8800,160,0,160,11110,0,11110,202,0,202,0,0
17488,825,0,825,15,0,15,816.749999,0,816.749999,14.84999999,0,14.84999999,0.15000001,8.25000055
17487,6537.788889,0,6537.788889,118.8688889,0,118.8688889,6648.583333,0,6648.583333,120.8833333,0,120.8833333,22.60222223,1243.122223
17486,5665,0,5665,103,0,103,4960.999998,0,4960.999998,90.19999998,0,90.19999998,31.68333334,1742.583334
17485,5665,0,5665,103,0,103,1395.166666,0,1395.166666,25.36666666,0,25.36666666,77.63333334,4269.833334
17484,5665,0,5665,103,0,103,5088.416664,0,5088.416664,92.51666664,0,92.51666664,23.81666668,1309.916667
17483,5665,0,5665,103,0,103,5621.916663,0,5621.916663,102.2166666,0,102.2166666,25.73333334,1415.333334
17482,5665,0,5665,103,0,103,5657.666665,0,5657.666665,102.8666667,0,102.8666667,27.36666667,1505.166667
17481,5665,0,5665,103,0,103,6338.749998,0,6338.749998,115.25,0,115.25,16.00000002,880.0000011
17480,1512.5,0,1512.5,27.5,0,27.5,726.916666,0,726.916666,13.21666666,0,13.21666666,14.28333334,785.5833337
17479,1512.5,0,1512.5,27.5,0,27.5,2168.833333,0,2168.833333,39.43333333,0,39.43333333,0.25,13.75
17478,1512.5,0,1512.5,27.5,0,27.5,1739.833333,0,1739.833333,31.63333333,0,31.63333333,0.25,13.75
17477,1512.5,0,1512.5,27.5,0,27.5,1492.333334,0,1492.333334,27.13333334,0,27.13333334,1.76666667,97.16666685
17476,1512.5,0,1512.5,27.5,0,27.5,1455.666666,0,1455.666666,26.46666666,0,26.46666666,1.03333334,56.8333337
17475,1512.5,0,1512.5,27.5,0,27.5,1595,0,1595,29,0,29,0.95,52.25
17474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17473,0,0,0,0,0,0,1659.166666,0,1659.166666,30.16666666,0,30.16666666,0,0
17472,15125,0,15125,275,0,275,5835.499997,0,5835.499997,106.1,0,106.1,185.65,10210.75
17471,291.5,0,291.5,5.3,0,5.3,87.999999,0,87.999999,1.59999999,0,1.59999999,3.91666667,215.4166669
17470,856.1361111,0,856.1361111,15.56611111,0,15.56611111,0,0,0,0,0,0,15.56611111,856.1361111
17469,4770.455556,0,4770.455556,86.73555556,0,86.73555556,3688.666665,0,3688.666665,67.06666665,0,67.06666665,39.70222222,2183.622222
17468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17467,363,0,363,6.6,0,6.6,285.999999,0,285.999999,5.19999999,0,5.19999999,1.40000001,77.00000055
17466,907.5,0,907.5,16.5,0,16.5,952.416667,0,952.416667,17.31666667,0,17.31666667,9.81666666,539.9166663
17465,4235,0,4235,77,0,77,2708.750002,0,2708.750002,49.25000003,0,49.25000003,56.01666665,3080.916666
17464,4537.5,0,4537.5,82.5,0,82.5,847.916667,0,847.916667,15.41666667,0,15.41666667,79.9,4394.5
17463,8123.591667,0,8123.591667,147.7016667,0,147.7016667,11362.99999,0,11362.99999,206.5999999,0,206.5999999,21.08333335,1159.583334
17462,9955,0,9955,181,0,181,11283.25,0,11283.25,205.15,0,205.15,46.86666667,2577.666667
17461,9955,0,9955,181,0,181,9237.249997,0,9237.249997,167.95,0,167.95,40.08333335,2204.583334
17460,9955,0,9955,181,0,181,10302.41667,0,10302.41667,187.3166667,0,187.3166667,53.5,2942.5
17459,9955,0,9955,181,0,181,9059.416666,0,9059.416666,164.7166667,0,164.7166667,55.35,3044.25
17458,11838.75,0,11838.75,215.25,0,215.25,13804.08333,0,13804.08333,250.9833333,0,250.9833333,49.45000005,2719.750003
17457,13722.5,0,13722.5,249.5,0,249.5,12460.25,0,12460.25,226.55,0,226.55,83.41666665,4587.916666
17456,15606.25,0,15606.25,283.75,0,283.75,16386.33333,0,16386.33333,297.9333333,0,297.9333333,96.73333334,5320.333334
17455,17503.75,0,17503.75,318.25,0,318.25,13765.58333,0,13765.58333,250.2833333,0,250.2833333,144.4666667,7945.666669
17454,17503.75,0,17503.75,318.25,0,318.25,9199.666663,0,9199.666663,167.2666666,0,167.2666666,199.9,10994.5
17453,17503.75,0,17503.75,318.25,0,318.25,6507.416667,0,6507.416667,118.3166667,0,118.3166667,223.8833333,12313.58333
17452,17503.75,0,17503.75,318.25,0,318.25,5142.499999,0,5142.499999,93.5,0,93.5,241.7833333,13298.08333
17451,17503.75,0,17503.75,318.25,0,318.25,2339.333334,0,2339.333334,42.53333334,0,42.53333334,275.9666667,15178.16667
17450,17503.75,0,17503.75,318.25,0,318.25,11,0,11,0.2,0,0.2,318.05,17492.75
17449,17503.75,0,17503.75,318.25,0,318.25,35.75,0,35.75,0.65,0,0.65,317.6,17468
17448,17503.75,0,17503.75,318.25,0,318.25,15.583333,0,15.583333,0.28333333,0,0.28333333,317.9666667,17488.16667
17447,19401.25,0,19401.25,352.75,0,352.75,15.583333,0,15.583333,0.28333333,0,0.28333333,352.4666667,19385.66667
17446,19401.25,0,19401.25,352.75,0,352.75,33.916667,0,33.916667,0.61666667,0,0.61666667,352.1333333,19367.33333
17445,19401.25,0,19401.25,352.75,0,352.75,16.5,0,16.5,0.3,0,0.3,352.45,19384.75
17444,19401.25,0,19401.25,352.75,0,352.75,23.833333,0,23.833333,0.43333333,0,0.43333333,352.3166667,19377.41667
17443,20336.25,0,20336.25,369.75,0,369.75,29.333333,0,29.333333,0.53333333,0,0.53333333,369.2166667,20306.91667
17442,20336.25,0,20336.25,369.75,0,369.75,14.666667,0,14.666667,0.26666667,0,0.26666667,369.4833333,20321.58333
17441,22151.25,0,22151.25,402.75,0,402.75,10.083333,0,10.083333,0.18333333,0,0.18333333,402.5666667,22141.16667
17440,22151.25,0,22151.25,402.75,0,402.75,6.416667,0,6.416667,0.11666667,0,0.11666667,402.6333333,22144.83333
17439,22151.25,0,22151.25,402.75,0,402.75,0,0,0,0,0,0,402.75,22151.25
17438,22151.25,0,22151.25,402.75,0,402.75,77.916666,0,77.916666,1.41666666,0,1.41666666,401.3333333,22073.33333
17437,22151.25,0,22151.25,402.75,0,402.75,50.416667,0,50.416667,0.91666667,0,0.91666667,401.8333333,22100.83333
17436,22151.25,0,22151.25,402.75,0,402.75,22.916667,0,22.916667,0.41666667,0,0.41666667,402.3333333,22128.33333
17435,22151.25,0,22151.25,402.75,0,402.75,12.833333,0,12.833333,0.23333333,0,0.23333333,402.5166667,22138.41667
17434,22151.25,0,22151.25,402.75,0,402.75,23.833333,0,23.833333,0.43333333,0,0.43333333,402.3166667,22127.41667
17433,24021.25,0,24021.25,436.75,0,436.75,17.416667,0,17.416667,0.31666667,0,0.31666667,436.4333333,24003.83333
17432,24021.25,0,24021.25,436.75,0,436.75,14.666667,0,14.666667,0.26666667,0,0.26666667,436.4833333,24006.58333
17431,24021.25,0,24021.25,436.75,0,436.75,16.5,0,16.5,0.3,0,0.3,436.45,24004.75
17430,24021.25,0,24021.25,436.75,0,436.75,30.25,0,30.25,0.55,0,0.55,436.2,23991
17429,24021.25,0,24021.25,436.75,0,436.75,643.5,0,643.5,11.7,0,11.7,436.3,23996.5
17428,24021.25,0,24021.25,436.75,0,436.75,0,0,0,0,0,0,436.75,24021.25
17427,24021.25,0,24021.25,436.75,0,436.75,20.166667,0,20.166667,0.36666667,0,0.36666667,436.3833333,24001.08333
17426,24021.25,0,24021.25,436.75,0,436.75,23.833333,0,23.833333,0.43333333,0,0.43333333,436.3166667,23997.41667
