WO,Line,Percent Complete*
17201,30,100
17202,30,100
17203,30,100
17204,30,100
17205,30,100
17206,30,100
17207,30,100
17208,30,100
17209,30,100
17210,30,100
17211,30,100
17214,30,100
17215,30,100
17216,30,100
17217,30,100
17218,30,100
17219,30,100
17220,30,80
17221,30,100
17222,30,100
17223,30,100
17234,30,100
17235,30,100
17236,30,100
17237,30,100
17238,30,100
17239,30,100
17240,30,100
17241,30,100
17242,30,100
17244,30,100
17245,30,100
17247,30,90
17250,30,100
17254,30,100
17256,30,100
17262,30,100
17264,30,100
17266,30,100
17270,30,100
17271,30,100
17272,30,100
17273,30,100
17276,30,100
17281,30,100
17284,30,100
17285,30,100
17287,30,100
17288,30,100
17293,30,100
17302,30,100
17305,30,100
17314,30,100
17316,30,100
17317,30,100
17318,30,100
17319,30,100
17324,30,100
17328,30,100
17329,30,100
17330,30,100
17331,30,100
17342,30,100
17343,30,100
17344,30,100
17345,30,100
17346,30,100
17347,30,100
17348,30,100
17352,30,100
17356,30,100
17358,30,100
17362,30,100
17363,30,100
17364,30,100
17365,30,100
17366,30,100
17367,30,100
17368,30,100
17369,30,100
17370,30,100
17371,30,100
17372,30,100
17376,30,100
17377,30,100
17378,30,100
17380,30,10
17381,30,100
17382,30,100
17383,30,100
17384,30,100
17385,30,100
17386,30,100
17387,30,70
17393,30,100
17394,30,100
17395,30,100
17397,30,100
17415,30,100
17416,30,100
17418,30,50
17421,30,100
17461,30,15
17462,30,100
17463,30,100
17469,30,100
17475,30,100
17476,30,100
17477,30,100
17478,30,100
17479,30,100
17480,30,100
17481,30,100
17482,30,100
17483,30,100
17484,30,100
17485,30,100
17486,30,100
16975,35,100
17234,35,100
17235,35,100
17236,35,100
17237,35,100
17239,35,100
17240,35,100
17241,35,100
17324,35,100
17381,35,100
17383,35,100
17384,35,100
17385,35,100
17386,35,100
17463,35,100
14518,40,100
14580,40,100
14582,40,100
14656,40,100
14657,40,100
14662,40,100
14691,40,100
14695,40,100
14696,40,100
14697,40,100
14698,40,100
14699,40,100
14700,40,100
14701,40,50
14706,40,100
14722,40,100
14735,40,100
14736,40,100
14782,40,100
14786,40,100
14787,40,100
14788,40,100
14789,40,100
14790,40,100
14791,40,100
14792,40,100
14793,40,100
14794,40,100
14795,40,100
14798,40,100
14800,40,100
14801,40,100
14802,40,100
14806,40,100
14807,40,100
14811,40,100
14812,40,100
14813,40,100
14823,40,100
14829,40,100
14830,40,100
14831,40,100
14832,40,100
14834,40,100
14835,40,100
14836,40,100
14837,40,100
14843,40,73
14848,40,100
14878,40,100
14879,40,100
14880,40,100
14881,40,100
14883,40,100
14884,40,100
14885,40,100
14886,40,100
14887,40,100
14888,40,100
14889,40,100
14891,40,80
14893,40,100
14894,40,100
14902,40,100
14903,40,100
14907,40,100
14908,40,100
14911,40,100
14914,40,74
14915,40,100
15071,40,100
15080,40,40
15087,40,100
15088,40,100
15094,40,100
15095,40,100
15096,40,100
15097,40,100
15099,40,100
15100,40,100
15101,40,100
15102,40,100
15104,40,100
15105,40,100
15106,40,100
15107,40,100
15109,40,100
15110,40,100
15111,40,100
15112,40,100
15115,40,100
15119,40,100
15129,40,100
15135,40,85
15150,40,100
15179,40,100
15180,40,100
15182,40,100
15183,40,100
15184,40,100
15196,40,100
15287,40,20
15289,40,100
15496,40,100
15497,40,100
15498,40,100
15499,40,100
15500,40,100
15503,40,100
15504,40,100
15506,40,100
15508,40,100
15509,40,100
15510,40,100
15512,40,100
15843,40,100
15845,40,100
15846,40,100
15847,40,100
15848,40,100
15884,40,100
15938,40,100
15939,40,100
16197,40,100
16230,40,100
16304,40,100
16328,40,0
16365,40,100
16366,40,80
16388,40,100
16389,40,87
16390,40,32
16391,40,54
16396,40,100
16408,40,98
16412,40,98
16413,40,100
16414,40,100
16416,40,100
16428,40,100
16435,40,100
16436,40,100
16437,40,100
16438,40,100
16439,40,100
16440,40,100
16441,40,100
16451,40,100
16452,40,100
16454,40,100
16455,40,100
16456,40,100
16457,40,100
16458,40,95
16459,40,100
16461,40,100
16489,40,100
16492,40,100
16500,40,100
16501,40,100
16502,40,100
16528,40,100
16529,40,85
16531,40,100
16532,40,100
16533,40,90
16534,40,100
16536,40,100
16537,40,100
16546,40,100
16568,40,100
16569,40,100
16585,40,100
16589,40,100
16604,40,100
16605,40,100
16612,40,100
16617,40,100
16627,40,100
16628,40,100
16633,40,100
16634,40,100
16635,40,100
16636,40,100
16637,40,100
16638,40,100
16639,40,100
16640,40,100
16641,40,100
16642,40,100
16643,40,100
16644,40,100
16652,40,100
16662,40,100
16663,40,100
16664,40,100
16665,40,100
16666,40,100
16670,40,100
16672,40,100
16673,40,100
16674,40,100
16677,40,100
16680,40,100
16681,40,100
16682,40,100
16683,40,100
16684,40,100
16700,40,15
16701,40,100
16703,40,100
16704,40,100
16705,40,100
16706,40,100
16707,40,100
16708,40,100
16709,40,100
16710,40,100
16711,40,100
16712,40,100
16730,40,100
16733,40,100
16734,40,100
16735,40,100
16736,40,100
16737,40,100
16738,40,100
16739,40,100
16740,40,100
16745,40,100
16789,40,100
16790,40,100
16791,40,75
16792,40,100
16811,40,100
16835,40,90
16836,40,100
16848,40,100
16851,40,100
16852,40,100
16893,40,100
16894,40,100
16901,40,100
16902,40,100
16926,40,100
16927,40,100
16928,40,100
16929,40,100
16930,40,100
16931,40,100
16932,40,100
16933,40,100
16934,40,100
16938,40,100
16944,40,100
16954,40,100
16958,40,100
16959,40,100
16962,40,100
16975,40,100
16982,40,80
16988,40,100
17023,40,100
17028,40,65
17037,40,65
17051,40,100
17052,40,100
17053,40,100
17054,40,100
17059,40,100
17060,40,100
17061,40,100
17063,40,15
17064,40,100
17068,40,100
17071,40,100
17074,40,100
17075,40,100
17078,40,100
17080,40,100
17081,40,100
17082,40,100
17087,40,100
17091,40,100
17092,40,100
17112,40,100
17114,40,100
17117,40,100
17120,40,100
17121,40,100
17123,40,100
17126,40,100
17127,40,100
17129,40,100
17130,40,100
17141,40,100
17143,40,100
17152,40,100
17158,40,100
17159,40,100
17160,40,100
17161,40,100
17163,40,100
17170,40,100
17172,40,100
17173,40,100
17174,40,100
17177,40,100
17179,40,100
17184,40,100
17185,40,100
17186,40,100
17187,40,100
17188,40,100
17190,40,100
17191,40,100
17193,40,100
17198,40,100
17199,40,100
17200,40,100
17202,40,100
17203,40,100
17204,40,100
17205,40,100
17206,40,100
17207,40,100
17208,40,100
17209,40,100
17210,40,100
17211,40,100
17214,40,100
17215,40,100
17216,40,100
17217,40,100
17218,40,100
17219,40,100
17220,40,100
17221,40,100
17222,40,100
17223,40,100
17234,40,100
17235,40,100
17236,40,100
17237,40,100
17238,40,100
17239,40,100
17240,40,100
17241,40,100
17242,40,100
17244,40,100
17245,40,100
17247,40,100
17250,40,100
17256,40,100
17262,40,100
17264,40,100
17266,40,100
17270,40,100
